Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
1058,HAR8AWF,HARRISON ST & 8TH AVE N WB,False,False,19,HERMAN,36.168367,-86.788962,37203
5328,EDMBRNSF,EDMONDSON PK & BRENTWOOD PL SB,False,False,72,GRASSMERE-EDMONDSON CONNECTOR,36.048311,-86.743759,37211
139,21APIESN,21ST AVE S & PIERCE AVE SB,False,True,"35,7",HILLSBORO,36.13998,-86.800488,37235
1060,HARBOSWM,HARDING PIKE & BOSLEY SPRINGS RD WB,False,False,"3,5",WEST END - WHITE BRIDGE,36.126788,-86.845188,37205
1939,THOPOWEM,THOMPSON LN & POWELL AVE EB,False,False,77,THOMPSON CONNECTOR,36.112013,-86.764776,37204
156,23ASEINF,23RD AVE N & SEIFRIED ST NB,False,False,22,BORDEAUX,36.182274,-86.814331,37208
2897,STEPERNF,STEWARTS FERRY PKWY & PERCY PRIEST DR NB,False,True,38,ANTIOCH EXPRESS,36.154226,-86.625681,37214
4977,31ABURNN,31ST AVE N & BURCH AVE NB,False,False,21,UNIVERSITY CONNECTOR,36.146209,-86.816324,37203
5033,NWBWCLNF,NW BROAD ST & W CLARK BLVD NB,False,False,96,MURFREESBORO RELAX & RIDE,35.86403,-86.409293,37129
514,BUC15AWN,BUCHANAN ST & 15TH AVE N WB,False,False,22,BORDEAUX,36.180106,-86.808642,37208
2046,WESWILWM,WEST END AVE & WILSON BLVD WB,False,True,"3,5",WEST END - WHITE BRIDGE,36.131505,-86.834269,37205
5204,ROWBONEF,ROWAN DR & BONTEMPS DR EB,False,False,14,WHITES CREEK,36.219552,-86.815121,37207
4543,MCGPARNN,MCGAVOCK PIKE & PARK DR NB,False,False,34,OPRY MILLS,36.171393,-86.67946,37214
1431,MCFMAXNN,MCFERRIN AVE & MAXWELL AVE NB,False,False,30,McFERRIN,36.182846,-86.754596,37206
2243,CHE1AVWF,CHESTNUT & 1ST AVE WB,False,False,25,MIDTOWN,36.14638,-86.763375,37210
4544,MCGLINNF,MCGAVOCK PIKE & LINCOYA DR NB,False,False,34,OPRY MILLS,36.178107,-86.678295,37214
409,BELHHOWN,BELL RD & HICKORY HOLLOW LN WB,False,True,"15,33",MURFREESBORO PIKE,36.049469,-86.65147,37013
972,GALMAPNN,GALLATIN PIKE & MAPLE ST NB,False,False,26,GALLATIN PIKE,36.261113,-86.712488,37115
505,BRO20AWM,BROADWAY AVE & 20TH AVE S WB,False,True,"35,7",HILLSBORO,36.149347,-86.798393,37203
4401,JOJ17AEN,JO JOHNSON AVE & 17TH AVE EB,False,False,25,MIDTOWN,36.161321,-86.799943,37203
